{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{ 21, 21, 21}	{ 52, 52, 52}	{123,123,123}	{168,168,168}	{215,215,215}	{255,255,255}	{  0,  0,  0}	{173, 78, 26}	{246,143, 55}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{ 13, 32, 48}	{ 65, 93,102}	{113,166,161}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{ 35, 23, 18}	{ 92, 60, 13}	{174,108, 55}	{197,151,130}	{226,215,181}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0, 82,128}	{ 10,152,172}	{ 37,226,205}	{189,255,202}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{ 79, 21,  7}	{224, 60, 40}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0, 96, 75}	{ 32,181, 98}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{130, 60, 61}	{218,101, 94}	{225,130,137}	{245,183,132}	{255,233,197}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0, 78,  0}	{ 19,157,  8}	{ 88,211, 50}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{135, 22, 70}	{207, 60,113}	{255,130,206}	{  0,  0,  0}	{  0,  0,  0}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{ 23, 40,  8}	{ 55,109,  3}	{106,180, 23}	{140,214, 18}	{190,235,113}	{238,255,169}	{  0,  0,  0}	{163, 40,179}	{204,105,228}	{213,156,252}	{254,201,237}	{  0,  0,  0}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{147,151, 23}	{182,193, 33}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{ 33, 22, 64}	{ 90, 25,145}	{106, 49,202}	{166,117,254}	{226,201,255}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{204,143, 21}	{255,187, 49}	{255,231, 55}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{ 61, 52,165}	{ 98,100,220}	{155,160,239}	{  0,  0,  0}	{  0,  0,  0}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0, 23,125}	{  2, 74,202}	{  0,132,255}	{ 91,168,255}	{152,220,255}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	
