{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{222,238,214}	{ 78, 74, 78}	{ 89,125,206}	{109,194,202}	{109,170, 44}	{218,212, 94}	{208, 70, 72}	{210,170,153}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{117,113, 97}	{ 20, 12, 28}	{ 48, 52,109}	{133,149,161}	{ 52,101, 36}	{210,125, 44}	{ 68, 36, 52}	{133, 76, 48}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{255,250,232}	{128,151,156}	{ 48,165,255}	{168,212,255}	{144,255, 79}	{255,255,102}	{255, 82, 82}	{255,107,255}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{170,196,178}	{ 75, 91,114}	{  0,106,255}	{114,156,251}	{ 68,184, 57}	{217,118, 65}	{212, 54, 85}	{176, 50,255}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{255,255,255}	{128,128,128}	{  0,  0,255}	{  0,255,255}	{  0,255,  0}	{255,255,  0}	{255,  0,  0}	{255,  0,255}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{192,192,192}	{  0,  0,  0}	{  0,  0,128}	{  0,128,128}	{  0,128,  0}	{128,128,  0}	{128,  0,  0}	{128,  0,128}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}
